bedroom_ID1,bedroom_ID2,bedroom_ID3,bedroom_ID4,bedroom_ID5,bedroom_ID6,bedroom_ID8,bedroom_ID9,bedroom_ID10,bedroom_ID11,bedroom_ID13,bedroom_ID15,bedroom_ID19,bedroom_ID20,bedroom_ID21,bedroom_ID23,bedroom_ID24,bedroom_ID25,bedroom_ID28,bedroom_ID29,bedroom_ID31,bedroom_ID32,bedroom_ID34,bedroom_ID36,bedroom_ID38,bedroom_ID39,bedroom_ID40,bedroom_ID43,living_room_ID1,living_room_ID2,living_room_ID3,living_room_ID4,living_room_ID5,living_room_ID6,living_room_ID8,living_room_ID9,living_room_ID10,living_room_ID11,living_room_ID13,living_room_ID15,living_room_ID19,living_room_ID20,living_room_ID21,living_room_ID22,living_room_ID23,living_room_ID24,living_room_ID25,living_room_ID28,living_room_ID29,living_room_ID31,living_room_ID32,living_room_ID33,living_room_ID34,living_room_ID35,living_room_ID36,living_room_ID38,living_room_ID39,living_room_ID40,living_room_ID43
16.31,18.464,17.92,19.436,19.016,13.916,18.267,14.043,10.133,15.64,21.909,20.621,19.434,13.543,19.641,19.19,19.779,20.498,17.369,21.243,14.313,19.903,18.19,22.757,18.125,13.686,17.483,16.828,21.249,20.437,18.747,20.108,20.234,15.48,16.524,15.754,17.53,13.488,19.184,21.142,22.335,15.154,18.813,22.472,20.968,20.968,19.838,19.679,19.992,18.468,18.969,11.67,19.59,19.842,18.929,19.305,19.492,17.968,17.656
16.372,18.151,17.607,18.56,19.141,13.603,17.829,15.045,10.071,15.452,21.721,20.433,19.309,13.418,19.515,18.814,19.091,19.935,17.182,19.992,17.07,19.089,18.44,22.132,17.374,13.812,17.922,17.141,19.747,19.812,18.246,18.481,18.982,15.042,16.148,15.378,17.592,13.3,18.934,19.891,20.958,15.154,18.5,22.346,20.468,20.468,19.4,19.054,19.116,17.905,18.406,11.67,18.776,19.842,18.867,18.554,18.929,17.656,17.343
16.435,17.963,17.356,17.872,19.141,13.29,17.454,14.606,10.008,15.264,21.408,20.058,19.121,13.355,19.453,20.128,18.528,19.497,16.994,19.116,16.13,18.463,18.816,21.632,16.748,12.808,16.982,16.953,19.059,19.374,17.933,17.605,18.357,14.728,15.897,15.065,17.717,13.112,18.746,19.265,20.145,15.154,18.187,22.284,20.092,20.092,19.025,18.491,18.366,17.404,17.968,11.607,18.15,19.717,18.929,17.928,18.867,17.343,17.094
16.247,17.775,17.106,17.371,19.329,13.039,17.078,14.481,10.071,15.076,21.221,20.183,18.934,13.292,19.39,20.379,18.028,19.122,16.743,18.366,15.504,17.9,18.753,21.381,16.247,12.306,16.669,16.891,18.558,18.936,17.62,16.979,17.981,14.415,15.584,14.814,17.843,12.987,18.558,19.328,19.456,15.154,17.937,22.159,19.717,19.717,18.65,17.99,17.803,17.029,17.467,11.544,17.587,19.654,19.117,17.365,18.929,17.094,16.781
16.122,17.587,18.797,16.807,18.953,13.54,16.703,14.356,10.071,14.951,20.97,20.246,18.746,13.23,19.327,19.815,18.716,22.437,16.743,17.803,15.128,17.461,18.691,21.194,15.809,11.804,16.419,16.703,18.12,18.56,19.247,16.478,17.606,14.102,15.396,14.564,18.093,12.862,19.059,20.517,18.893,15.092,17.687,22.034,21.907,21.907,19.025,17.552,19.054,16.841,17.154,11.544,17.148,19.467,19.305,16.926,19.117,16.781,16.656
15.934,18.025,19.798,21.188,18.452,13.352,16.39,14.231,10.071,16.955,20.72,20.183,18.496,13.23,19.14,20.128,19.529,24.687,17.432,19.054,14.877,17.399,18.628,21.069,19.064,11.365,16.356,16.515,17.87,20.938,20.06,16.039,17.293,15.919,15.396,14.376,18.281,13.676,18.996,21.58,24.023,15.029,20.188,22.159,22.032,22.032,19.525,18.053,20.367,18.718,17.843,11.544,17.649,19.341,19.492,17.49,19.305,16.656,17.468
16.873,18.088,19.298,22.814,17.951,13.039,16.39,14.106,9.945,16.642,20.532,20.246,18.37,13.167,19.14,21.442,19.779,25.313,16.931,20.367,15.128,19.777,18.566,23.445,19.064,11.051,16.732,16.453,20.185,21.375,20.686,19.733,18.044,14.916,17.213,14.188,18.594,14.177,18.433,22.894,23.836,15.029,21.376,22.847,20.843,20.843,19.838,19.429,18.24,18.28,18.281,11.732,17.9,19.341,21.057,18.303,19.492,17.468,17.468
18.814,18.965,19.298,19.874,17.576,12.851,17.829,13.918,9.82,15.515,20.345,20.371,18.683,13.167,19.515,21.379,21.28,25.0,16.743,18.24,16.255,18.839,18.378,23.508,19.252,17.76,18.548,16.828,18.996,22.001,20.873,21.109,17.731,14.54,16.712,18.635,18.781,13.488,18.12,22.769,20.458,15.029,20.251,23.785,21.344,21.344,19.901,18.616,18.053,17.529,18.468,12.046,18.338,19.279,23.183,19.242,21.057,17.468,17.218
18.689,18.965,18.922,18.623,18.014,12.851,18.017,13.855,10.008,15.327,20.532,20.433,18.934,13.167,19.515,20.316,20.905,25.062,16.681,18.053,15.566,17.962,18.253,23.07,19.252,14.878,17.483,17.203,18.809,21.438,20.373,19.107,19.733,14.352,16.085,19.011,19.032,13.238,17.933,22.518,19.957,15.029,20.001,23.785,23.095,23.095,20.026,18.178,21.055,17.029,18.719,12.296,18.839,19.467,22.995,19.93,23.183,17.218,16.969
17.437,19.215,19.423,18.122,17.951,12.663,17.829,13.73,10.133,15.452,20.157,20.558,18.934,13.606,19.641,20.504,21.218,24.75,16.618,21.055,15.441,17.524,18.065,22.882,18.0,15.191,17.045,16.703,18.308,21.501,20.623,18.231,21.047,14.29,16.398,18.698,19.219,13.05,17.87,22.581,20.458,15.029,21.689,24.598,22.344,22.344,20.026,18.366,21.431,17.029,18.906,12.422,19.402,19.529,22.245,19.618,22.995,16.969,16.781
