bedroom_ID1,bedroom_ID2,bedroom_ID3,bedroom_ID4,bedroom_ID5,bedroom_ID6,bedroom_ID7,bedroom_ID8,bedroom_ID9,bedroom_ID10,bedroom_ID11,bedroom_ID12,bedroom_ID13,bedroom_ID14,bedroom_ID15,bedroom_ID16,bedroom_ID17,bedroom_ID18,bedroom_ID19,bedroom_ID20,bedroom_ID21,bedroom_ID22,bedroom_ID23,bedroom_ID24,bedroom_ID25,bedroom_ID26,bedroom_ID28,bedroom_ID29,bedroom_ID30,bedroom_ID31,bedroom_ID32,bedroom_ID33,bedroom_ID34,bedroom_ID35,bedroom_ID36,bedroom_ID37,bedroom_ID38,bedroom_ID39,bedroom_ID40,bedroom_ID41,bedroom_ID42,bedroom_ID43,living_room_ID1,living_room_ID2,living_room_ID3,living_room_ID4,living_room_ID5,living_room_ID6,living_room_ID7,living_room_ID8,living_room_ID9,living_room_ID10,living_room_ID11,living_room_ID12,living_room_ID13,living_room_ID14,living_room_ID15,living_room_ID16,living_room_ID17,living_room_ID18,living_room_ID19,living_room_ID20,living_room_ID21,living_room_ID22,living_room_ID23,living_room_ID24,living_room_ID25,living_room_ID26,living_room_ID27,living_room_ID28,living_room_ID29,living_room_ID30,living_room_ID31,living_room_ID32,living_room_ID33,living_room_ID34,living_room_ID35,living_room_ID36,living_room_ID37,living_room_ID38,living_room_ID39,living_room_ID40,living_room_ID41,living_room_ID42,living_room_ID43
16.31,17.559,17.495,19.561,17.826,15.355,18.315,17.24258691206544,15.065,9.726997950819671,14.888,18.996,17.653,20.046,19.557,22.056,22.24,20.457,18.934,17.495,19.707,19.418,19.252,18.904,23.687,19.313,17.745,20.219,16.207,14.94,15.582,15.773,15.625,19.051,21.131,17.596,21.317,15.254,16.857,13.995,16.369,15.827,20.248,19.09,19.673,16.227,17.23,19.492,16.589,16.028470347648263,15.27,19.93884049079755,11.859,21.518,15.679,21.955,22.518,20.224,22.24,16.807,19.707,19.673,19.25,21.581,19.529,20.296,21.089,18.936,20.123,19.742,21.281,22.876,16.698,16.653,12.834,11.92,19.652,20.03,15.459,20.994,15.298,17.183,19.81,19.247,15.845
16.122,17.746,17.12,18.435,17.388,14.352,18.19,17.24258691206544,14.564,9.726997950819671,14.387,18.684,17.591,20.296,19.62,20.805,20.926,19.644,18.558,17.12,19.269,19.355,18.376,18.591,22.499,18.25,17.182,20.281,15.644,15.128,14.455,14.771,15.625,18.613,21.006,16.595,19.127,14.94,16.481,13.494,15.993,15.389,18.558,18.151,18.609,15.163,16.291,18.239,16.526,16.028470347648263,14.644,19.93884049079755,11.671,21.33,15.554,22.081,22.456,18.597,20.926,16.244,18.643,18.609,18.938,21.331,18.715,19.67,20.088,17.809,18.871,17.99,19.905,21.625,15.446,15.84,12.02,11.795,18.651,19.529,14.833,20.243,14.985,16.682,18.37,19.184,15.345
15.934,17.746,16.869,17.621,17.012,13.663,18.065,17.24258691206544,14.188,9.726997950819671,14.074,17.495,17.465,20.546,19.495,19.929,20.426,18.831,18.183,16.869,18.831,19.293,17.75,18.466,21.874,17.437,16.806,18.779,15.205,15.378,13.766,14.082,15.75,18.175,20.944,15.656,20.003,14.752,16.106,13.181,15.492,15.139,17.62,17.524,17.857,14.473,15.665,17.237,16.464,16.028470347648263,14.205,19.93884049079755,11.546,19.39,15.429,22.206,22.456,17.533,20.426,15.806,17.766,17.857,18.625,21.143,18.089,19.608,19.4,16.996,18.119,17.052,18.966,20.812,14.506,15.277,11.518,11.732,17.712,19.091,14.269,19.993,14.797,16.307,17.556,19.184,14.909
15.871,17.183,16.619,16.87,16.511,13.224,17.94,17.24258691206544,13.812,9.726997950819671,13.886,16.744,17.34,20.671,19.307,19.116,20.739,18.08,17.807,16.619,18.393,19.23,17.187,18.591,21.374,16.686,16.493,17.213,14.767,15.253,13.013,13.518,16.063,17.736,20.568,15.03,20.378,14.69,15.792,12.68,15.492,14.826,16.869,16.96,17.169,13.91,15.164,16.548,16.526,16.028470347648263,13.83,19.93884049079755,11.358,18.013,15.303,22.268,22.706,16.782,20.739,15.367,16.952,17.169,18.375,20.955,17.588,19.483,18.9,16.37,17.493,16.301,18.215,20.187,13.942,14.839,10.955,11.67,16.898,18.653,13.893,20.243,14.672,15.994,16.741,19.434,14.409
15.495,16.745,16.181,16.181,16.135,12.785,17.94,17.24258691206544,13.498,9.726997950819671,13.635,16.118,17.152,20.609,19.119,18.49,21.364,17.517,17.369,16.181,18.08,19.105,16.749,18.778,20.936,16.06,16.117,16.148,14.328,14.752,12.449,12.954,16.313,17.298,20.318,14.278,18.939,14.627,15.542,12.241,15.492,14.451,16.305,16.522,16.542,13.471,14.789,15.859,16.902,16.028470347648263,13.516,19.93884049079755,11.17,17.137,15.742,22.331,22.831,16.094,21.364,15.117,16.2,16.542,18.125,20.768,17.15,19.608,18.337,15.744,16.866,15.612,17.651,19.686,13.441,14.401,10.516,11.607,16.146,18.277,13.517,19.367,14.547,15.994,15.927,19.434,13.972
15.245,16.494,17.182,15.555,15.822,12.346,18.065,17.24258691206544,13.122,9.726997950819671,13.447,16.118,17.215,20.734,18.994,17.739,21.927,17.642,17.181,17.182,18.393,19.043,19.002,18.841,22.499,15.435,15.804,15.396,13.952,14.0,13.766,13.33,16.501,18.988,20.13,13.527,21.129,18.7,17.17,12.429,15.993,14.513,15.867,19.904,17.983,13.032,14.475,15.421,17.403,16.028470347648263,13.141,19.93884049079755,11.044,17.074,15.93,22.456,22.206,15.468,21.927,14.866,16.388,17.983,18.688,20.642,19.654,19.42,18.712,15.18,17.618,17.427,17.088,19.248,14.193,15.027,10.579,11.544,15.52,19.216,13.141,20.431,14.61,16.181,16.24,19.81,13.972
17.311,16.181,16.995,16.745,15.947,13.851,18.315,17.24258691206544,12.683,9.726997950819671,13.384,17.119,17.403,20.734,18.806,18.302,22.99,22.208,17.745,16.995,18.768,18.917,19.19,19.904,24.875,16.436,16.869,14.832,13.952,14.188,15.958,14.521,16.438,18.675,19.943,13.903,19.377,16.382,17.671,13.744,15.555,14.388,17.995,21.469,19.298,14.223,15.352,17.237,17.716,16.028470347648263,12.765,19.93884049079755,10.856,19.515,15.742,22.706,22.831,16.657,22.99,16.62,18.079,19.298,18.938,21.143,20.092,19.733,19.838,15.994,19.685,17.928,18.966,19.936,14.068,16.215,11.393,11.482,14.956,19.279,13.454,19.805,14.86,18.435,18.119,19.685,14.596
32.125,15.931,17.182,18.435,16.386,14.29,18.628,10.737,14.376,9.726997950819671,15.013,17.995,16.777,21.109,18.932,19.366,23.115,22.458,17.807,17.182,19.707,19.168,18.689,22.406,25.25,20.939,16.305,17.025,15.331,13.812,14.768,15.585,16.376,19.176,20.693,14.779,21.192,16.257,18.109,13.995,15.304,14.513,17.62,19.09,19.798,15.601,14.914,15.922,17.778,11.506,15.332,18.501,11.984,20.391,15.617,22.518,22.206,19.473,23.115,17.872,16.952,19.798,19.125,22.27,19.341,21.797,21.089,19.812,20.686,16.926,19.216,21.876,14.694,15.527,12.02,11.544,15.582,19.717,13.83,20.556,15.048,18.31,19.434,19.56,14.659
20.441,16.807,16.494,17.12,16.26,14.791,18.691,20.813,14.94,7.319,13.572,18.058,16.464,20.671,19.244,20.054,22.49,21.645,17.807,16.494,20.707,19.481,18.939,22.531,25.937,19.438,15.742,17.965,16.646,13.561,13.828,14.834,16.251,19.489,20.068,14.779,19.878,16.382,17.233,14.621,15.555,14.263,17.494,17.963,18.609,14.724,14.851,15.358,17.841,19.394,17.836,19.064,11.546,20.704,15.742,22.706,21.643,19.786,22.49,16.87,17.39,18.609,19.25,23.083,20.092,23.548,23.777,18.998,21.187,16.238,19.467,25.564,16.636,14.714,11.518,11.607,15.708,19.779,13.329,20.744,15.298,17.809,20.561,19.81,14.284
19.189,17.559,17.433,16.432,16.198,14.478,18.691,17.873,15.316,7.257,13.384,18.684,16.338,20.484,19.244,20.429,22.552,21.333,17.995,17.433,20.77,19.668,18.752,22.156,25.5,19.125,15.366,18.654,17.209,13.686,13.515,14.019,16.188,19.677,20.381,15.468,18.626,16.445,16.857,15.372,15.492,14.2,17.119,17.462,20.236,14.16,14.851,15.17,18.091,16.515,17.962,19.44,11.295,21.142,15.742,22.581,21.017,19.911,22.552,16.181,17.516,20.236,19.25,23.396,18.903,22.798,22.464,18.122,21.375,15.737,20.468,24.252,19.265,14.463,11.08,11.67,16.084,19.842,12.953,20.181,15.486,17.809,22.125,19.685,13.972
